INFO 2025-03-31 22:41:37,570 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:45:06,630 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:45:51,105 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\settings.py changed, reloading.
INFO 2025-03-31 22:45:51,610 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:45:56,077 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:46:53,133 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\settings.py changed, reloading.
INFO 2025-03-31 22:46:53,682 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:47:41,823 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:48:18,334 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\views.py changed, reloading.
INFO 2025-03-31 22:48:18,855 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:48:39,897 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 22:49:18,496 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\settings.py changed, reloading.
INFO 2025-03-31 22:49:19,060 autoreload Watching for file changes with StatReloader
WARNING 2025-03-31 22:49:22,441 log Unauthorized: /
WARNING 2025-03-31 22:49:22,442 basehttp "GET / HTTP/1.1" 401 9898
INFO 2025-03-31 22:49:22,643 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-03-31 22:49:22,646 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-03-31 22:49:22,656 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-03-31 22:49:22,660 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-03-31 22:49:22,664 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-03-31 22:49:22,674 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-03-31 22:49:22,676 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-03-31 22:49:22,680 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-03-31 22:49:22,683 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-03-31 22:49:22,687 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-03-31 22:49:22,690 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-03-31 22:49:22,712 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
WARNING 2025-03-31 22:49:32,833 log Unauthorized: /
WARNING 2025-03-31 22:49:32,834 basehttp "GET /?format=api HTTP/1.1" 401 9931
WARNING 2025-03-31 22:49:34,661 log Unauthorized: /
WARNING 2025-03-31 22:49:34,662 basehttp "GET /?format=json HTTP/1.1" 401 51
WARNING 2025-03-31 22:49:34,699 log Not Found: /favicon.ico
WARNING 2025-03-31 22:49:34,699 basehttp "GET /favicon.ico HTTP/1.1" 404 13756
INFO 2025-03-31 22:49:58,260 basehttp "GET /projects HTTP/1.1" 301 0
WARNING 2025-03-31 22:49:58,267 log Unauthorized: /projects/
WARNING 2025-03-31 22:49:58,268 basehttp "GET /projects/ HTTP/1.1" 401 10066
WARNING 2025-03-31 22:50:03,443 log Not Found: /proasfasfjects/
WARNING 2025-03-31 22:50:03,443 basehttp "GET /proasfasfjects/ HTTP/1.1" 404 13768
WARNING 2025-03-31 22:50:09,377 log Unauthorized: /projects/
WARNING 2025-03-31 22:50:09,378 basehttp "GET /projects/ HTTP/1.1" 401 10066
WARNING 2025-03-31 22:50:10,081 log Unauthorized: /
WARNING 2025-03-31 22:50:10,081 basehttp "GET / HTTP/1.1" 401 9898
WARNING 2025-03-31 22:50:11,323 log Unauthorized: /
WARNING 2025-03-31 22:50:11,323 basehttp "GET / HTTP/1.1" 401 9898
WARNING 2025-03-31 22:59:55,541 log Unauthorized: /projects/
WARNING 2025-03-31 22:59:55,542 basehttp "GET /projects/ HTTP/1.1" 401 10066
INFO 2025-03-31 22:59:55,577 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,580 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,581 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,582 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,585 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,585 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,586 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,587 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,587 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,587 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,588 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 22:59:55,603 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-03-31 23:04:11,266 autoreload C:\Users\Ondøej Liška\source\repos\Web\python_bp\django\python_bp\views.py changed, reloading.
INFO 2025-03-31 23:04:11,812 autoreload Watching for file changes with StatReloader
INFO 2025-03-31 23:04:20,615 basehttp "GET /projects/ HTTP/1.1" 200 13639
INFO 2025-03-31 23:04:20,637 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,639 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,643 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,644 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,646 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,647 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,648 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,648 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,649 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,649 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,650 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2025-03-31 23:04:20,743 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-03-31 23:04:20,755 basehttp "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
WARNING 2025-03-31 23:22:22,186 log Not Found: /api/projects/
WARNING 2025-03-31 23:22:22,187 basehttp "GET /api/projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 404 13826
WARNING 2025-03-31 23:22:39,728 log Not Found: /api/projects/
WARNING 2025-03-31 23:22:39,728 basehttp "GET /api/projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 404 13826
WARNING 2025-03-31 23:22:52,907 log Not Found: /api/projects/
WARNING 2025-03-31 23:22:52,907 basehttp "GET /api/projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 404 13826
WARNING 2025-03-31 23:23:08,557 log Not Found: /api/projects/
WARNING 2025-03-31 23:23:08,559 basehttp "GET /api/projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 404 13826
WARNING 2025-03-31 23:23:08,630 log Not Found: /favicon.ico
WARNING 2025-03-31 23:23:08,631 basehttp "GET /favicon.ico HTTP/1.1" 404 13756
WARNING 2025-03-31 23:23:13,905 log Not Found: /api/projects/
WARNING 2025-03-31 23:23:13,906 basehttp "GET /api/projects/?public_visibility=true HTTP/1.1" 404 13785
WARNING 2025-03-31 23:23:18,199 log Not Found: /api/projects
WARNING 2025-03-31 23:23:18,199 basehttp "GET /api/projects HTTP/1.1" 404 13759
WARNING 2025-03-31 23:23:21,490 log Not Found: /api/projects
WARNING 2025-03-31 23:23:21,491 basehttp "GET /api/projects HTTP/1.1" 404 13759
INFO 2025-03-31 23:23:32,332 basehttp "GET /projects HTTP/1.1" 301 0
INFO 2025-03-31 23:23:32,386 basehttp "GET /projects/ HTTP/1.1" 200 13639
INFO 2025-03-31 23:23:32,425 basehttp "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2025-03-31 23:23:32,430 basehttp "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2025-03-31 23:23:32,430 basehttp "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2025-03-31 23:23:32,430 basehttp "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2025-03-31 23:23:32,430 basehttp "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2025-03-31 23:23:32,431 basehttp "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2025-03-31 23:23:32,434 basehttp "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2025-03-31 23:23:32,435 basehttp "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2025-03-31 23:23:32,435 basehttp "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2025-03-31 23:23:32,437 basehttp "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2025-03-31 23:23:32,438 basehttp "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2025-03-31 23:23:32,457 basehttp "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2025-03-31 23:23:32,468 basehttp "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
WARNING 2025-03-31 23:23:38,683 log Not Found: /api/projects/
WARNING 2025-03-31 23:23:38,684 basehttp "GET /api/projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 404 13826
INFO 2025-03-31 23:23:46,680 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 14247
INFO 2025-03-31 23:24:02,306 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:24:04,765 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:25:23,656 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:27:01,487 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:27:16,967 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:27:25,609 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:28:35,932 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:29:26,161 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:30:46,866 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:33:50,767 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:33:57,713 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:34:18,422 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:37:25,778 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:38:00,387 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:38:29,061 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:16,118 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:19,946 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:19,947 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:21,969 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:21,972 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:24,709 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
INFO 2025-03-31 23:39:24,711 basehttp "GET /projects/?public_visibility=true&page_size=6&ordering=-created_at HTTP/1.1" 200 52
